Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Beg File Samp (samples)	Begin Path	Begin Clock Time	Occupancy	Nest ID	Individual ID	Call type	Sex
1	Spectrogram 1	1	296.036059814	296.100240812	3747.6	14990.5	2019/11/17	13055190	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:53:34.036		NNBB11	UK		
2	Spectrogram 1	1	369.600667479	369.719305080	5054.9	13247.4	2019/11/17	16299389	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:54:47.601		NNBB11	UK		
3	Spectrogram 1	1	417.876082040	417.946097674	2440.3	14816.2	2019/11/17	18428335	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:55:35.876		NNBB11	UK		
4	Spectrogram 1	1	445.263951001	445.335911513	4619.2	15687.7	2019/11/17	19636140	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:56:03.264		NNBB11	UK		
5	Spectrogram 1	1	462.778345571	463.037014439	3311.9	13596.0	2019/11/17	20408525	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:56:20.778		NNBB11	UK	Purr	
6	Spectrogram 1	1	515.330732734	515.387134217	3050.4	14729.1	2019/11/17	22726085	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:57:13.331		NNBB11	UK		
7	Spectrogram 1	1	540.785991364	540.875455784	4706.3	14467.6	2019/11/17	23848662	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:57:38.786		NNBB11	UK		
8	Spectrogram 1	1	542.945016064	543.001417546	3921.9	13160.3	2019/11/17	23943875	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:57:40.945		NNBB11	UK		
9	Spectrogram 1	1	576.200092263	576.281777168	3311.9	16907.9	2019/11/17	25410424	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:58:14.200		NNBB11	UK		
10	Spectrogram 1	1	632.869172163	632.941132675	5316.4	14729.1	2019/11/17	27909530	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191117_STUDY [-39.1172 176.8147]/NNBB11_20191117_164838_SunriseToSunset [-39.1172 176.8147].wav	16:59:10.869		NNBB11	UK		
