Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Beg File Samp (samples)	Begin Path	Begin Clock Time	Occupancy	Nest ID	Individual ID	Call type	Sex
1	Spectrogram 1	1	55.134889718	55.219421765	4769.2	14674.5	2020/1/12	2431449	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:01:29.135		NNK34	UK	Zip	
2	Spectrogram 1	1	136.459807708	136.579354076	5503.0	13115.4	2020/1/12	6017878	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:02:50.460		NNK34	UK	Zip	
3	Spectrogram 1	1	173.766787608	173.859164347	5319.5	13115.4	2020/1/12	7663115	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:03:27.767		NNK34	UK	Zip	
4	Spectrogram 1	1	188.682913982	188.807894276	4952.7	14032.5	2020/1/12	8320917	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:03:42.683		NNK34	UK	Zip	
5	Spectrogram 1	1	241.210320019	241.329866387	4952.7	14858.0	2020/1/12	10637375	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:04:35.210		NNK34	UK	Zip	
6	Spectrogram 1	1	287.081239086	287.130144419	6787.0	13390.5	2020/1/12	12660283	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:05:21.081		NNK34	UK	Zip	
7	Spectrogram 1	1	305.969565193	306.078243710	5227.8	14491.1	2020/1/12	13493258	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:05:39.970		NNK34	UK	Zip	
8	Spectrogram 1	1	426.543669506	426.663215875	5594.7	14674.5	2020/1/12	18810576	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:07:40.544		NNK34	UK	Zip	
9	Spectrogram 1	1	465.480827156	466.013351888	4310.6	11464.5	2020/1/12	20527704	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:08:19.481		NNK34	PB0023	Zip	
10	Spectrogram 1	1	487.151323326	487.287171472	4952.7	12656.8	2020/1/12	21483373	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNK Kamahi nests/NNK34/NNK34_20200112_STUDY [-39.1108 176.8199]/NNK34_20200112_070034_Rec [-39.1108 176.8199].wav	7:08:41.151		NNK34	UK	Zip	
