"filename","base_filename","site","start","end","samples","sr","duration","interval","true_length","true_sr"
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191110_STUDY [-39.1188 176.8152]/NNBB11_20191110_164548_SunriseToSunset [-39.1188 176.8152].wav","NNBB11_20191110_164548_SunriseToSunset [-39.1188 176.8152].wav","NNBB11",2019-11-10 16:45:48,2019-11-10 16:53:54,21475350,44100,486.969387755102,2019-11-10 16:45:48 NZDT--2019-11-10 16:53:54 NZDT,490,43827.2448979592
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191110_STUDY [-39.1188 176.8152]/NNBB11_20191110_165400_SunriseToSunset [-39.1188 176.8152].wav","NNBB11_20191110_165400_SunriseToSunset [-39.1188 176.8152].wav","NNBB11",2019-11-10 16:54:00,2019-11-10 18:53:53,317253654,44100,7193.96040816327,2019-11-10 16:54:00 NZDT--2019-11-10 18:53:53 NZDT,7239,43825.618731869
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191110_STUDY [-39.1188 176.8152]/NNBB11_20191110_185440_SunriseToSunset [-39.1188 176.8152].wav","NNBB11_20191110_185440_SunriseToSunset [-39.1188 176.8152].wav","NNBB11",2019-11-10 18:54:40,2019-11-10 20:53:53,315447318,44100,7153.00040816327,2019-11-10 18:54:40 NZDT--2019-11-10 20:53:53 NZDT,7197,43830.3901625677
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191110_STUDY [-39.1188 176.8152]/NNBB11_20191110_205439_SunriseToSunset [-39.1188 176.8152].wav","NNBB11_20191110_205439_SunriseToSunset [-39.1188 176.8152].wav","NNBB11",2019-11-10 20:54:39,2019-11-10 22:53:52,315447318,44100,7153.00040816327,2019-11-10 20:54:39 NZDT--2019-11-10 22:53:52 NZDT,7195,43842.5737317582
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191110_STUDY [-39.1188 176.8152]/NNBB11_20191110_225437_SunriseToSunset [-39.1188 176.8152].wav","NNBB11_20191110_225437_SunriseToSunset [-39.1188 176.8152].wav","NNBB11",2019-11-10 22:54:37,2019-11-11 00:53:51,315535382,44100,7154.99732426304,2019-11-10 22:54:37 NZDT--2019-11-11 00:53:51 NZDT,7198,43836.5354265074
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191110_STUDY [-39.1199 176.8030]/NNBB11_20191110_102538_SunriseToSunset [-39.1199 176.8030].wav","NNBB11_20191110_102538_SunriseToSunset [-39.1199 176.8030].wav","NNBB11",2019-11-10 10:25:38,2019-11-10 11:53:58,233773078,44100,5300.97682539683,2019-11-10 10:25:38 NZDT--2019-11-10 11:53:58 NZDT,5333,43835.191824489
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191110_STUDY [-39.1199 176.8030]/NNBB11_20191110_135400_SunriseToSunset [-39.1199 176.8030].wav","NNBB11_20191110_135400_SunriseToSunset [-39.1199 176.8030].wav","NNBB11",2019-11-10 13:54:00,2019-11-10 15:53:59,317519894,44100,7199.99759637188,2019-11-10 13:54:00 NZDT--2019-11-10 15:53:59 NZDT,7245,43826.0723257419
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191111_STUDY [-39.1188 176.8152]/NNBB11_20191111_045300_SunriseToSunset [-39.1188 176.8152].wav","NNBB11_20191111_045300_SunriseToSunset [-39.1188 176.8152].wav","NNBB11",2019-11-11 04:53:00,2019-11-11 06:52:54,317298710,44100,7194.9820861678,2019-11-11 04:53:00 NZDT--2019-11-11 06:52:54 NZDT,7241,43819.7362242784
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191111_STUDY [-39.1188 176.8152]/NNBB11_20191111_065341_SunriseToSunset [-39.1188 176.8152].wav","NNBB11_20191111_065341_SunriseToSunset [-39.1188 176.8152].wav","NNBB11",2019-11-11 06:53:41,2019-11-11 08:52:50,315314198,44100,7149.98181405896,2019-11-11 06:53:41 NZDT--2019-11-11 08:52:50 NZDT,7195,43824.0719944406
"data/2019 BAR recordings/NNBB Bellbird nests/NNBB11/NNBB11_20191110_20191115_STUDY [-39.1188 176.8152]/NNBB11_20191111_STUDY [-39.1188 176.8152]/NNBB11_20191111_085340_SunriseToSunset [-39.1188 176.8152].wav","NNBB11_20191111_085340_SunriseToSunset [-39.1188 176.8152].wav","NNBB11",2019-11-11 08:53:40,2019-11-11 10:52:51,315402262,44100,7151.97873015873,2019-11-11 08:53:40 NZDT--2019-11-11 10:52:51 NZDT,7196,43830.219844358
