Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Beg File Samp (samples)	Begin Path	Begin Clock Time	Occupancy	Nest ID	Individual ID	Call type	Sex
1	Spectrogram 1	1	376.161744272	376.243429178	7362.7	14354.3	2019/12/3	16588733	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:46:56.162		NNS1	UK	Zip	
2	Spectrogram 1	1	399.415180600	399.586329926	7115.3	14601.8	2019/12/3	17614209	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:47:19.415		NNS1	UK	Zip	
3	Spectrogram 1	1	420.153150852	420.666598831	2041.8	11384.4	2019/12/3	18528754	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:47:40.153		NNS1	PB0023		
4	Spectrogram 1	1	494.638686711	495.447326022	2351.1	13797.4	2019/12/3	21813566	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:48:54.639		NNS1	PB0024		
5	Spectrogram 1	1	532.899571377	533.015091279	6125.3	13116.8	2019/12/3	23500871	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:49:32.900		NNS1	UK	Zip	
6	Spectrogram 1	1	656.475619411	656.624144999	4702.3	13426.2	2019/12/3	28950575	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:51:36.476		NNS1	UK	Zip	
7	Spectrogram 1	1	720.576399526	720.859698332	4375.0	10587.5	2019/12/3	31777419	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:52:40.576		NNS1	UK	Purr	
8	Spectrogram 1	1	741.597809515	741.713329417	5687.5	14875.0	2019/12/3	32704463	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:53:01.598		NNS1	UK	Zip	
9	Spectrogram 1	1	764.505482397	764.582495665	4550.0	15312.5	2019/12/3	33714692	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:53:24.505		NNS1	UK	Zip	
10	Spectrogram 1	1	810.633955112	811.131790878	2537.5	11375.0	2019/12/3	35748957	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:54:10.634		NNS1	PB0023		
11	Spectrogram 1	1	951.585485742	951.723009434	3850.0	13912.5	2019/12/3	41964920	/Volumes/2019BSMI/2019 BSMI/2019 BAR recordings/NNS DOC Station nests/NNS1_20191203_STUDY [-39.0986 176.8061]/NNS1_20191203_064040_SunriseToSunset [-39.0986 176.8061].wav	6:56:31.585		NNS1	UK	Purr	
